SimTime,Active_RSUs,Scale_Out,Scale_In,Avg_Create_Cost_ms,Avg_Delete_Cost_ms,Ctrl_Overhead_Est_KB
1,23,0,0,0,0,23
2,23,0,0,0,0,23
3,23,0,0,0,0,23
4,23,0,0,0,0,23
5,23,0,0,0,0,23
6,24,1,0,0.29,0,24
7,24,0,0,0,0,24
8,24,0,0,0,0,24
9,24,0,0,0,0,24
10,25,1,0,0.315,0,25
11,25,0,0,0,0,25
12,25,0,0,0,0,25
13,25,0,0,0,0,25
14,25,0,0,0,0,25
15,25,0,0,0,0,25
16,25,0,0,0,0,25
17,25,0,0,0,0,25
18,25,0,0,0,0,25
19,25,0,0,0,0,25
20,25,0,0,0,0,25
21,25,0,0,0,0,25
22,25,0,0,0,0,25
23,25,0,0,0,0,25
24,25,0,0,0,0,25
25,25,0,0,0,0,25
26,25,0,0,0,0,25
27,25,0,0,0,0,25
28,25,0,0,0,0,25
29,25,0,0,0,0,25
30,25,0,0,0,0,25
31,25,0,0,0,0,25
32,25,0,0,0,0,25
33,25,0,0,0,0,25
34,25,0,0,0,0,25
35,25,0,0,0,0,25
36,25,0,0,0,0,25
37,25,0,0,0,0,25
38,25,0,0,0,0,25
39,25,0,0,0,0,25
40,25,0,0,0,0,25
41,25,0,0,0,0,25
42,25,0,0,0,0,25
43,25,0,0,0,0,25
44,25,0,0,0,0,25
45,25,0,0,0,0,25
46,25,0,0,0,0,25
47,25,0,0,0,0,25
48,25,0,0,0,0,25
49,25,0,0,0,0,25
50,25,0,0,0,0,25
51,25,0,0,0,0,25
52,25,0,0,0,0,25
53,25,0,0,0,0,25
54,25,0,0,0,0,25
55,25,0,0,0,0,25
56,25,0,0,0,0,25
57,25,0,0,0,0,25
58,25,0,0,0,0,25
59,25,0,0,0,0,25
60,25,0,0,0,0,25
61,25,0,0,0,0,25
62,25,0,0,0,0,25
63,25,0,0,0,0,25
64,25,0,0,0,0,25
65,25,0,0,0,0,25
66,25,0,0,0,0,25
67,25,0,0,0,0,25
68,25,0,0,0,0,25
69,25,0,0,0,0,25
70,25,0,0,0,0,25
71,25,0,0,0,0,25
72,25,0,0,0,0,25
73,25,0,0,0,0,25
74,25,0,0,0,0,25
75,25,0,0,0,0,25
76,25,0,0,0,0,25
77,25,0,0,0,0,25
78,25,0,0,0,0,25
79,25,0,0,0,0,25
80,25,0,0,0,0,25
81,25,0,0,0,0,25
82,25,0,0,0,0,25
83,25,0,0,0,0,25
84,25,0,0,0,0,25
85,25,0,0,0,0,25
86,25,0,0,0,0,25
87,25,0,0,0,0,25
88,25,0,0,0,0,25
89,25,0,0,0,0,25
90,25,0,0,0,0,25
91,25,0,0,0,0,25
92,25,0,0,0,0,25
93,25,0,0,0,0,25
94,25,0,0,0,0,25
95,25,0,0,0,0,25
96,25,0,0,0,0,25
97,25,0,0,0,0,25
98,25,0,0,0,0,25
99,25,0,0,0,0,25
100,25,0,0,0,0,25
101,25,0,0,0,0,25
102,25,0,0,0,0,25
103,25,0,0,0,0,25
104,25,0,0,0,0,25
105,25,0,0,0,0,25
106,25,0,0,0,0,25
107,25,0,0,0,0,25
108,25,0,0,0,0,25
109,25,0,0,0,0,25
110,25,0,0,0,0,25
111,25,0,0,0,0,25
112,24,0,1,0,0.014,24
113,24,0,0,0,0,24
114,24,0,0,0,0,24
115,24,0,0,0,0,24
116,24,0,0,0,0,24
117,24,0,0,0,0,24
118,24,0,0,0,0,24
119,24,0,0,0,0,24
120,24,0,0,0,0,24
121,24,0,0,0,0,24
122,24,0,0,0,0,24
123,24,0,0,0,0,24
124,24,0,0,0,0,24
125,24,0,0,0,0,24
126,24,0,0,0,0,24
127,24,0,0,0,0,24
128,24,0,0,0,0,24
129,24,0,0,0,0,24
130,24,0,0,0,0,24
131,24,0,0,0,0,24
132,24,0,0,0,0,24
133,24,0,0,0,0,24
134,24,0,0,0,0,24
135,24,0,0,0,0,24
136,24,0,0,0,0,24
137,24,0,0,0,0,24
138,24,0,0,0,0,24
139,24,0,0,0,0,24
140,24,0,0,0,0,24
141,24,0,0,0,0,24
142,24,0,0,0,0,24
143,24,0,0,0,0,24
144,24,0,0,0,0,24
145,24,0,0,0,0,24
146,24,0,0,0,0,24
147,24,0,0,0,0,24
148,24,0,0,0,0,24
149,24,0,0,0,0,24
150,24,0,0,0,0,24
151,24,0,0,0,0,24
152,24,0,0,0,0,24
153,24,0,0,0,0,24
154,24,0,0,0,0,24
155,24,0,0,0,0,24
156,24,0,0,0,0,24
157,24,0,0,0,0,24
158,24,0,0,0,0,24
159,24,0,0,0,0,24
160,24,0,0,0,0,24
161,24,0,0,0,0,24
162,24,0,0,0,0,24
163,24,0,0,0,0,24
164,24,0,0,0,0,24
165,24,0,0,0,0,24
166,24,0,0,0,0,24
167,24,0,0,0,0,24
168,24,0,0,0,0,24
169,24,0,0,0,0,24
170,24,0,0,0,0,24
171,24,0,0,0,0,24
172,24,0,0,0,0,24
173,24,0,0,0,0,24
174,24,0,0,0,0,24
175,24,0,0,0,0,24
176,24,0,0,0,0,24
177,24,0,0,0,0,24
178,24,0,0,0,0,24
179,24,0,0,0,0,24
180,24,0,0,0,0,24
181,24,0,0,0,0,24
182,24,0,0,0,0,24
183,24,0,0,0,0,24
184,24,0,0,0,0,24
185,24,0,0,0,0,24
186,24,0,0,0,0,24
187,24,0,0,0,0,24
188,24,0,0,0,0,24
189,24,0,0,0,0,24
190,24,0,0,0,0,24
191,24,0,0,0,0,24
192,24,0,0,0,0,24
193,24,0,0,0,0,24
194,24,0,0,0,0,24
195,24,0,0,0,0,24
196,24,0,0,0,0,24
197,24,0,0,0,0,24
198,24,0,0,0,0,24
199,24,0,0,0,0,24
200,24,0,0,0,0,24
