SimTime,Total_Bytes_Received,MANOQuery_Bytes,SafetyCmd_Bytes,TrafficPreemption_Bytes,TimeSync_Bytes
1,450,0,0,0,450
2,450,0,0,0,450
3,450,0,0,0,450
4,2136,464,1222,0,450
5,450,0,0,0,450
6,450,0,0,0,450
7,450,0,0,0,450
8,450,0,0,0,450
9,450,0,0,0,450
10,450,0,0,0,450
11,450,0,0,0,450
12,450,0,0,0,450
13,2108,456,1202,0,450
14,450,0,0,0,450
15,450,0,0,0,450
16,450,0,0,0,450
17,450,0,0,0,450
18,450,0,0,0,450
19,450,0,0,0,450
20,450,0,0,0,450
21,450,0,0,0,450
22,450,0,0,0,450
23,450,0,0,0,450
24,450,0,0,0,450
25,450,0,0,0,450
26,450,0,0,0,450
27,450,0,0,0,450
28,450,0,0,0,450
29,450,0,0,0,450
30,450,0,0,0,450
31,450,0,0,0,450
32,450,0,0,0,450
33,450,0,0,0,450
34,450,0,0,0,450
35,450,0,0,0,450
36,2195,481,1264,0,450
37,450,0,0,0,450
38,450,0,0,0,450
39,450,0,0,0,450
40,450,0,0,0,450
41,450,0,0,0,450
42,450,0,0,0,450
43,450,0,0,0,450
44,450,0,0,0,450
45,450,0,0,0,450
46,450,0,0,0,450
47,450,0,0,0,450
48,450,0,0,0,450
49,450,0,0,0,450
50,450,0,0,0,450
51,450,0,0,0,450
52,450,0,0,0,450
53,450,0,0,0,450
54,450,0,0,0,450
55,450,0,0,0,450
56,450,0,0,0,450
57,450,0,0,0,450
58,450,0,0,0,450
59,450,0,0,0,450
60,450,0,0,0,450
61,450,0,0,0,450
62,450,0,0,0,450
63,450,0,0,0,450
64,450,0,0,0,450
65,450,0,0,0,450
66,450,0,0,0,450
67,450,0,0,0,450
68,450,0,0,0,450
69,450,0,0,0,450
70,450,0,0,0,450
71,450,0,0,0,450
72,450,0,0,0,450
73,450,0,0,0,450
74,450,0,0,0,450
75,450,0,0,0,450
76,450,0,0,0,450
77,450,0,0,0,450
78,450,0,0,0,450
79,450,0,0,0,450
80,450,0,0,0,450
81,450,0,0,0,450
82,450,0,0,0,450
83,450,0,0,0,450
84,450,0,0,0,450
85,450,0,0,0,450
86,450,0,0,0,450
87,450,0,0,0,450
88,450,0,0,0,450
89,915,0,0,255,660
90,915,0,0,255,660
91,915,0,0,255,660
92,450,0,0,0,450
93,450,0,0,0,450
94,450,0,0,0,450
95,450,0,0,0,450
96,450,0,0,0,450
97,450,0,0,0,450
98,450,0,0,0,450
99,450,0,0,0,450
100,450,0,0,0,450
101,450,0,0,0,450
102,450,0,0,0,450
103,450,0,0,0,450
104,450,0,0,0,450
105,450,0,0,0,450
106,923,0,0,259,664
107,923,0,0,259,664
108,3121,0,0,2037,1084
109,3201,0,0,2097,1104
110,3113,0,0,2031,1082
111,1800,0,0,930,870
112,1806,0,0,934,872
113,1836,0,0,954,882
114,1791,0,0,924,867
115,1878,0,0,982,896
116,1875,0,0,980,895
117,1875,0,0,980,895
118,1875,0,0,980,895
119,1884,0,0,986,898
120,1887,0,0,988,899
121,1346,0,0,896,450
122,953,0,0,274,679
123,953,0,0,274,679
124,953,0,0,274,679
125,953,0,0,274,679
126,953,0,0,274,679
127,953,0,0,274,679
128,953,0,0,274,679
129,953,0,0,274,679
130,679,0,0,229,450
131,953,0,0,274,679
132,953,0,0,274,679
133,953,0,0,274,679
134,953,0,0,274,679
135,679,0,0,229,450
136,953,0,0,274,679
137,1812,0,0,938,874
138,915,0,0,255,660
139,915,0,0,255,660
140,683,0,0,233,450
141,961,0,0,278,683
142,961,0,0,278,683
143,961,0,0,278,683
144,662,0,0,212,450
145,450,0,0,0,450
146,450,0,0,0,450
147,450,0,0,0,450
148,450,0,0,0,450
149,450,0,0,0,450
150,927,0,0,261,666
151,923,0,0,259,664
152,450,0,0,0,450
153,450,0,0,0,450
154,450,0,0,0,450
155,450,0,0,0,450
156,450,0,0,0,450
157,450,0,0,0,450
158,450,0,0,0,450
159,450,0,0,0,450
160,450,0,0,0,450
161,450,0,0,0,450
162,450,0,0,0,450
163,450,0,0,0,450
164,450,0,0,0,450
165,450,0,0,0,450
166,450,0,0,0,450
167,450,0,0,0,450
168,450,0,0,0,450
169,450,0,0,0,450
170,450,0,0,0,450
171,450,0,0,0,450
172,450,0,0,0,450
173,450,0,0,0,450
174,450,0,0,0,450
175,450,0,0,0,450
176,450,0,0,0,450
177,450,0,0,0,450
178,450,0,0,0,450
179,665,0,0,215,450
180,664,0,0,214,450
181,450,0,0,0,450
182,450,0,0,0,450
183,450,0,0,0,450
184,450,0,0,0,450
185,450,0,0,0,450
186,450,0,0,0,450
187,450,0,0,0,450
188,450,0,0,0,450
189,450,0,0,0,450
190,450,0,0,0,450
191,450,0,0,0,450
192,450,0,0,0,450
193,450,0,0,0,450
194,450,0,0,0,450
195,450,0,0,0,450
196,450,0,0,0,450
197,450,0,0,0,450
198,450,0,0,0,450
199,450,0,0,0,450
200,450,0,0,0,450
