SimTime,Total_Bytes_Sent,Mobility_Bytes,RSU_Bytes,EmergencyReq_Bytes,Accident_Bytes,End_Of_Step_Bytes,Empty_Payload_Bytes,Terminate_Bytes
1,41915,33667,6740,0,0,1338,170,0
2,41642,40304,0,0,0,1338,0,0
3,44466,43128,0,0,0,1338,0,0
4,45643,43766,0,0,539,1338,0,0
5,43857,42519,0,0,0,1338,0,0
6,46599,41890,3371,0,0,1338,0,0
7,47836,43069,3429,0,0,1338,0,0
8,44661,43323,0,0,0,1338,0,0
9,48105,43336,3431,0,0,1338,0,0
10,45899,44561,0,0,0,1338,0,0
11,53050,44716,6986,0,0,1348,0,0
12,45983,44635,0,0,0,1348,0,0
13,46461,44554,0,0,559,1348,0,0
14,49253,44411,3494,0,0,1348,0,0
15,45753,44405,0,0,0,1348,0,0
16,49248,44406,3494,0,0,1348,0,0
17,49239,44397,3494,0,0,1348,0,0
18,49238,44396,3494,0,0,1348,0,0
19,45744,44396,0,0,0,1348,0,0
20,45744,44396,0,0,0,1348,0,0
21,49247,44405,3494,0,0,1348,0,0
22,49140,44298,3494,0,0,1348,0,0
23,49128,44286,3494,0,0,1348,0,0
24,45634,44286,0,0,0,1348,0,0
25,49119,44277,3494,0,0,1348,0,0
26,49127,44285,3494,0,0,1348,0,0
27,45625,44277,0,0,0,1348,0,0
28,49127,44285,3494,0,0,1348,0,0
29,45634,44286,0,0,0,1348,0,0
30,49128,44286,3494,0,0,1348,0,0
31,49119,44277,3494,0,0,1348,0,0
32,45633,44285,0,0,0,1348,0,0
33,49128,44286,3494,0,0,1348,0,0
34,51531,46689,3494,0,0,1348,0,0
35,53139,48297,3494,0,0,1348,0,0
36,54008,48608,3494,0,558,1348,0,0
37,54737,49895,3494,0,0,1348,0,0
38,54923,50081,3494,0,0,1348,0,0
39,54874,50032,3494,0,0,1348,0,0
40,54913,50071,3494,0,0,1348,0,0
41,54927,50085,3494,0,0,1348,0,0
42,54964,50122,3494,0,0,1348,0,0
43,54968,50126,3494,0,0,1348,0,0
44,54986,50144,3494,0,0,1348,0,0
45,55006,50164,3494,0,0,1348,0,0
46,54945,50103,3494,0,0,1348,0,0
47,52695,51347,0,0,0,1348,0,0
48,56499,51657,3494,0,0,1348,0,0
49,56536,51694,3494,0,0,1348,0,0
50,55170,50328,3494,0,0,1348,0,0
51,54856,50014,3494,0,0,1348,0,0
52,54802,49960,3494,0,0,1348,0,0
53,51340,49992,0,0,0,1348,0,0
54,54046,49204,3494,0,0,1348,0,0
55,53778,48936,3494,0,0,1348,0,0
56,53353,48511,3494,0,0,1348,0,0
57,52840,47998,3494,0,0,1348,0,0
58,52347,47505,3494,0,0,1348,0,0
59,48660,47312,0,0,0,1348,0,0
60,48545,47197,0,0,0,1348,0,0
61,52001,47159,3494,0,0,1348,0,0
62,52025,47183,3494,0,0,1348,0,0
63,48498,47150,0,0,0,1348,0,0
64,48512,47164,0,0,0,1348,0,0
65,51990,47148,3494,0,0,1348,0,0
66,51907,47065,3494,0,0,1348,0,0
67,51880,47038,3494,0,0,1348,0,0
68,51932,47090,3494,0,0,1348,0,0
69,51947,47105,3494,0,0,1348,0,0
70,52029,47187,3494,0,0,1348,0,0
71,52074,47232,3494,0,0,1348,0,0
72,48584,47236,0,0,0,1348,0,0
73,52078,47236,3494,0,0,1348,0,0
74,48584,47236,0,0,0,1348,0,0
75,48584,47236,0,0,0,1348,0,0
76,52114,47272,3494,0,0,1348,0,0
77,48624,47276,0,0,0,1348,0,0
78,52082,47240,3494,0,0,1348,0,0
79,52096,47254,3494,0,0,1348,0,0
80,48703,47355,0,0,0,1348,0,0
81,52127,47285,3494,0,0,1348,0,0
82,48678,47330,0,0,0,1348,0,0
83,48693,47345,0,0,0,1348,0,0
84,54591,49749,3494,0,0,1348,0,0
85,54912,50070,3494,0,0,1348,0,0
86,54963,50121,3494,0,0,1348,0,0
87,54968,50126,3494,0,0,1348,0,0
88,54869,50027,3494,0,0,1348,0,0
89,55117,50025,3494,250,0,1348,0,0
90,55100,50008,3494,250,0,1348,0,0
91,55440,50348,3494,250,0,1348,0,0
92,55282,50440,3494,0,0,1348,0,0
93,51686,50338,0,0,0,1348,0,0
94,55033,50191,3494,0,0,1348,0,0
95,55072,50230,3494,0,0,1348,0,0
96,55105,50263,3494,0,0,1348,0,0
97,55036,50194,3494,0,0,1348,0,0
98,54911,50069,3494,0,0,1348,0,0
99,54718,49876,3494,0,0,1348,0,0
100,54735,49893,3494,0,0,1348,0,0
101,54644,49790,3496,0,0,1358,0,0
102,54513,49659,3496,0,0,1358,0,0
103,54518,49664,3496,0,0,1358,0,0
104,54556,49702,3496,0,0,1358,0,0
105,54380,49526,3496,0,0,1358,0,0
106,53319,48210,3496,255,0,1358,0,0
107,53301,48192,3496,255,0,1358,0,0
108,53717,48107,3496,756,0,1358,0,0
109,53636,48006,3496,776,0,1358,0,0
110,57100,47996,6992,754,0,1358,0,0
111,53306,47951,3496,501,0,1358,0,0
112,53240,47883,3496,503,0,1358,0,0
113,56651,47912,6868,513,0,1358,0,0
114,56741,48015,6870,498,0,1358,0,0
115,53409,48089,3435,527,0,1358,0,0
116,53298,47979,3435,526,0,1358,0,0
117,51917,46598,3435,526,0,1358,0,0
118,51756,46437,3435,526,0,1358,0,0
119,51794,46472,3435,529,0,1358,0,0
120,51700,46377,3435,530,0,1358,0,0
121,51868,46546,3435,529,0,1358,0,0
122,51619,46557,3435,269,0,1358,0,0
123,48129,46502,0,269,0,1358,0,0
124,51513,46451,3435,269,0,1358,0,0
125,51598,46536,3435,269,0,1358,0,0
126,48110,46483,0,269,0,1358,0,0
127,51394,46332,3435,269,0,1358,0,0
128,50172,45110,3435,269,0,1358,0,0
129,50011,44949,3435,269,0,1358,0,0
130,48820,43758,3435,269,0,1358,0,0
131,48949,43887,3435,269,0,1358,0,0
132,49068,44006,3435,269,0,1358,0,0
133,48907,43845,3435,269,0,1358,0,0
134,46152,41090,3435,269,0,1358,0,0
135,45731,40669,3435,269,0,1358,0,0
136,44692,39630,3435,269,0,1358,0,0
137,48447,39714,6870,505,0,1358,0,0
138,44699,39655,3435,251,0,1358,0,0
139,44861,39817,3435,251,0,1358,0,0
140,44948,39881,3435,274,0,1358,0,0
141,44944,39877,3435,274,0,1358,0,0
142,41346,39714,0,274,0,1358,0,0
143,43449,38382,3435,274,0,1358,0,0
144,41815,36769,3435,253,0,1358,0,0
145,41255,36462,3435,0,0,1358,0,0
146,37705,36347,0,0,0,1358,0,0
147,41210,36417,3435,0,0,1358,0,0
148,41363,36570,3435,0,0,1358,0,0
149,36360,35002,0,0,0,1358,0,0
150,36333,34718,0,257,0,1358,0,0
151,43297,34814,6870,255,0,1358,0,0
152,39646,34853,3435,0,0,1358,0,0
