SimTime,Total_Vehicles,Avg_Net_Speed_mps,Veh_At_Red_light,Emerg_At_Red_Light,Veh_Receiving_V2V,Veh_Receiving_RSU,Veh_Receiving_Strat,Veh_ReactingV2V,Veh_Reacting_RSUStrat,Veh_ReactingRSU
1,27,0,0,0,0,0,0,0,0,0
2,27,2.24865,0,0,0,0,0,0,0,0
3,29,3.94734,0,0,0,0,0,0,0,0
4,30,0.621385,0,0,2,1,1,0,0,0
5,30,0.578137,0,0,0,0,0,0,0,0
6,30,0.576804,0,0,0,0,0,0,0,0
7,31,0.556907,0,0,0,0,0,0,0,0
8,31,0.63664,0,0,0,0,0,0,0,0
9,31,0.702018,0,0,0,0,0,0,0,0
10,32,0.538205,0,0,0,0,0,0,0,0
11,32,0.471703,0,0,0,0,0,0,0,0
12,32,0.517081,0,0,0,0,0,0,0,0
13,32,0.300417,0,0,1,2,1,0,0,0
14,32,0.299479,0,0,0,0,0,0,0,0
15,32,0.298854,0,0,0,0,0,0,0,0
16,32,0.298229,0,0,0,0,0,0,0,0
17,32,0.297604,0,0,0,0,0,0,0,0
18,32,0.296979,0,0,0,0,0,0,0,0
19,32,0.296354,0,0,0,0,0,0,0,0
20,32,0.295729,0,0,0,0,0,0,0,0
21,32,0.295104,0,0,0,0,0,0,0,0
22,32,0.111247,0,0,0,0,0,0,0,0
23,32,0.110935,0,0,0,0,0,0,0,0
24,32,0.110622,0,0,0,0,0,0,0,0
25,32,0.11031,0,0,0,0,0,0,0,0
26,32,0.109997,0,0,0,0,0,0,0,0
27,32,0.109685,0,0,0,0,0,0,0,0
28,32,0.109372,0,0,0,0,0,0,0,0
29,32,0.10906,0,0,0,0,0,0,0,0
30,32,0.108747,0,0,0,0,0,0,0,0
31,32,0.108435,0,0,0,0,0,0,0,0
32,32,0.108122,0,0,0,0,0,0,0,0
33,32,0.10781,0,0,0,0,0,0,0,0
34,32,1.51562,0,0,0,0,0,0,0,0
35,33,2.78347,0,0,0,0,0,0,0,0
36,33,3.97688,0,0,1,1,2,0,0,0
37,34,4.89783,0,0,0,0,0,0,0,0
38,34,5.86111,0,0,0,0,0,0,0,0
39,34,6.1994,0,0,0,0,0,0,0,0
40,34,6.17871,0,0,0,0,0,0,0,0
41,34,6.51281,0,0,0,0,0,0,0,0
42,34,6.85042,0,0,0,0,0,0,0,0
43,34,6.94284,0,0,0,0,0,0,0,0
44,34,7.05221,0,0,0,0,0,0,0,0
45,34,7.31105,0,0,0,0,0,0,0,0
46,34,7.52164,0,0,0,0,0,0,0,0
47,35,7.07279,0,0,0,0,0,0,0,0
48,35,7.06808,0,0,0,0,0,0,0,0
49,35,7.34662,0,0,0,0,0,0,0,0
50,34,7.49057,0,0,0,0,0,0,0,0
51,34,7.82434,0,0,0,0,0,0,0,0
52,34,8.2407,100,0,0,0,0,0,0,0
53,34,8.22918,100,0,0,0,0,0,0,0
54,34,5.39473,100,0,0,0,0,0,0,0
55,34,3.1214,100,0,0,0,0,0,0,0
56,34,1.71613,200,0,0,0,0,0,0,0
57,34,1.2072,200,0,0,0,0,0,0,0
58,34,1.01883,200,0,0,0,0,0,0,0
59,34,1.15515,200,0,0,0,0,0,0,0
60,34,1.09109,300,0,0,0,0,0,0,0
61,34,1.00795,300,0,0,0,0,0,0,0
62,34,0.924734,300,0,0,0,0,0,0,0
63,34,0.660028,300,0,0,0,0,0,0,0
64,34,0.395322,300,0,0,0,0,0,0,0
65,34,0.23624,300,0,0,0,0,0,0,0
66,34,0.103887,300,0,0,0,0,0,0,0
67,34,0,300,0,0,0,0,0,0,0
68,34,0.0419495,300,0,0,0,0,0,0,0
69,34,0.10753,300,0,0,0,0,0,0,0
70,34,0.215913,300,0,0,0,0,0,0,0
71,34,0.326207,300,0,0,0,0,0,0,0
72,34,0.429154,300,0,0,0,0,0,0,0
73,34,0.512955,300,0,0,0,0,0,0,0
74,34,0.630107,300,0,0,0,0,0,0,0
75,34,0.734682,300,0,0,0,0,0,0,0
76,34,0.656821,300,0,0,0,0,0,0,0
77,34,0.548274,300,0,0,0,0,0,0,0
78,34,0.626184,300,0,0,0,0,0,0,0
79,34,0.635502,300,0,0,0,0,0,0,0
80,34,0.732478,300,0,0,0,0,0,0,0
81,34,0.701884,300,0,0,0,0,0,0,0
82,34,0.781887,300,0,0,0,0,0,0,0
83,34,0.895877,300,0,0,0,0,0,0,0
84,34,2.23621,201,0,0,0,0,0,0,0
85,34,3.40665,200,0,0,0,0,0,0,0
86,34,4.65007,200,0,0,0,0,0,0,0
87,34,5.65032,200,0,0,0,0,0,0,0
88,34,6.40443,200,0,0,0,0,0,0,0
89,34,6.74967,200,0,0,0,0,0,0,0
90,34,6.20618,200,0,0,0,0,0,0,0
91,34,6.28142,3,0,0,0,0,0,0,0
92,34,6.55284,0,0,0,0,0,0,0,0
93,34,6.77522,0,0,0,0,0,0,0,0
94,34,6.89397,0,0,0,0,0,0,0,0
95,34,7.41883,0,0,0,0,0,0,0,0
96,34,7.72516,0,0,0,0,0,0,0,0
97,34,7.96596,0,0,0,0,0,0,0,0
98,34,8.37579,0,0,0,0,0,0,0,0
99,34,8.8784,100,0,0,0,0,0,0,0
100,34,9.05155,100,0,0,0,0,0,0,0
101,34,9.36554,200,0,0,0,0,0,0,0
102,34,8.89083,200,0,0,0,0,0,0,0
103,34,8.43175,200,0,0,0,0,0,0,0
104,34,8.054,200,0,0,0,0,0,0,0
105,34,7.70521,300,0,0,0,0,0,0,0
106,33,7.22954,300,0,0,0,0,0,0,0
107,33,7.01542,300,0,0,0,0,0,0,0
108,33,6.63624,300,0,0,0,0,0,0,0
109,33,6.3807,400,0,0,0,0,0,0,0
110,33,5.92154,400,0,0,0,0,0,0,0
